Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,Ownership,StDev,Team1,Team2,Opponent
TE,Ryan Jones (30331400),Ryan Jones,30331400,TE/FLEX,2500,WAS@NYG 10/22/2023 01:00PM ET,NYG,0,0,0,0,WAS,NYG,WAS
TE,Ko Kieft (30331364),Ko Kieft,30331364,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,TB,0,0.6,0,1.27,ATL,TB,ATL
TE,David Wells (30331366),David Wells,30331366,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,TB,0.25,0.096666667,0,0,ATL,TB,ATL
TE,Payne Durham (30331368),Payne Durham,30331368,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,TB,1.8,0.443333333,0.013333333,1.215,ATL,TB,ATL
TE,Tanner Taula (30331370),Tanner Taula,30331370,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,TB,0,0,0,0,ATL,TB,ATL
TE,MyCole Pruitt (30331372),MyCole Pruitt,30331372,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,ATL,1.18,1.046666667,0.01,1.935,ATL,TB,TB
TE,John FitzPatrick (30331374),John FitzPatrick,30331374,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0,0,0,ATL,TB,TB
TE,Feleipe Franks (30331376),Feleipe Franks,30331376,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0,0,0,ATL,TB,TB
TE,Tucker Fisk (30331378),Tucker Fisk,30331378,TE/FLEX,2500,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0,0,0,ATL,TB,TB
TE,Darnell Washington (30331346),Darnell Washington,30331346,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,PIT,0.4,1.253333333,0.006666667,1.545,PIT,LAR,LAR
TE,Connor Heyward (30331348),Connor Heyward,30331348,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,PIT,1.84,1.416666667,0.016666667,3.79,PIT,LAR,LAR
